SI_DO_NAME,SI_GUN_GU_NAME,UP_MYUN_DONG_NAME,final_category,final_score,final_general
경기도,화성시,영천동,RESIDENTIAL,0.6154137931034483,False
인천광역시,계양구,계산동,NIGHTLIFE,0.64395,False
경기도,성남시 분당구,판교동,PREMIUM,0.6202,False
경기도,파주시,와동동,OFFICE,0.6352,False
대구광역시,중구,대봉동,RESIDENTIAL,0.63295,False
부산광역시,북구,덕천동,GENERAL,0.5515333333333333,False
경기도,용인시 수지구,풍덕천동,RESIDENTIAL,0.7072,False
서울특별시,은평구,진관동,OFFICE,0.7032,False
경기도,파주시,탄현면,TOURIST,0.6848,False
강원특별자치도,강릉시,교동,NIGHTLIFE,0.6473,False
대전광역시,유성구,도룡동,RESIDENTIAL,0.6262846153846154,False
서울특별시,송파구,삼전동,OFFICE,0.6964,False
강원특별자치도,원주시,무실동,RESIDENTIAL,0.6447,False
경기도,김포시,양촌읍,OFFICE,0.6592,False
대구광역시,중구,공평동,RESIDENTIAL,0.6376916666666667,False
경기도,화성시,향남읍,OFFICE,0.7432,False
경기도,수원시 팔달구,북수동,RESIDENTIAL,0.6567700000000001,False
부산광역시,기장군,정관읍,OFFICE,0.6565,False
서울특별시,구로구,신도림동,OFFICE,0.6758,False
서울특별시,은평구,응암동,OFFICE,0.6379,False
서울특별시,종로구,재동,TOURIST,0.6479647058823529,False
서울특별시,동작구,상도동,RESIDENTIAL,0.643025,False
서울특별시,중구,초동,NIGHTLIFE,0.6285866666666667,False
대전광역시,유성구,관평동,CAMPUS,0.688,False
서울특별시,용산구,후암동,TOURIST,0.6563,False
경상남도,진주시,충무공동,OFFICE,0.6878,False
경기도,구리시,수택동,NIGHTLIFE,0.6884333333333333,False
부산광역시,영도구,동삼동,CAMPUS,0.6194666666666667,True
제주특별자치도,서귀포시,대정읍,GENERAL,0.292,False
경기도,수원시 영통구,매탄동,RESIDENTIAL,0.6628000000000001,False
강원특별자치도,강릉시,초당동,TOURIST,0.7214,False
경상남도,진주시,평거동,CAMPUS,0.7019,False
서울특별시,중구,다동,NIGHTLIFE,0.6285866666666667,False
서울특별시,중구,충무로1가,NIGHTLIFE,0.6285866666666667,False
서울특별시,종로구,계동,TOURIST,0.6479647058823529,False
서울특별시,동대문구,전농동,RESIDENTIAL,0.63805,False
서울특별시,종로구,창신동,TOURIST,0.6354333333333333,False
서울특별시,금천구,독산동,OFFICE,0.635025,False
서울특별시,서대문구,대현동,RESIDENTIAL,0.6118857142857143,False
서울특별시,종로구,낙원동,TOURIST,0.6479647058823529,False
경기도,수원시 팔달구,매산로1가,RESIDENTIAL,0.6567700000000001,False
서울특별시,성동구,옥수동,PREMIUM,0.6119,False
서울특별시,중구,을지로2가,NIGHTLIFE,0.6743,False
대구광역시,달성군,다사읍,RESIDENTIAL,0.6505,False
서울특별시,영등포구,영등포동4가,OFFICE,0.67855,False
인천광역시,미추홀구,용현동,OFFICE,0.59385,False
서울특별시,마포구,대흥동,CAMPUS,0.6121,False
경기도,남양주시,와부읍,OFFICE,0.6617,False
대구광역시,수성구,수성동4가,RESIDENTIAL,0.6949666666666667,False
전북특별자치도,전주시 완산구,효자동3가,RESIDENTIAL,0.6374,False
대전광역시,서구,도안동,CAMPUS,0.6445,False
서울특별시,마포구,염리동,RESIDENTIAL,0.6049,False
서울특별시,마포구,성산동,CAMPUS,0.59375,False
서울특별시,종로구,체부동,TOURIST,0.6479647058823529,False
부산광역시,동래구,사직동,RESIDENTIAL,0.7050000000000001,False
충청북도,청주시 상당구,용암동,RESIDENTIAL,0.63825,False
경상북도,포항시 남구,효자동,TOURIST,0.6762642857142858,False
강원특별자치도,강릉시,강문동,TOURIST,0.6762,False
경기도,용인시 수지구,상현동,RESIDENTIAL,0.7679333333333332,False
경기도,김포시,운양동,RESIDENTIAL,0.6823,False
광주광역시,동구,동명동,PREMIUM,0.6228,False
경기도,하남시,신장동,OFFICE,0.6798,False
서울특별시,용산구,원효로1가,OFFICE,0.61415,False
서울특별시,광진구,광장동,CAMPUS,0.5766,False
서울특별시,강동구,길동,NIGHTLIFE,0.6587,False
경기도,수원시 장안구,율전동,RESIDENTIAL,0.62147,False
서울특별시,중구,소공동,NIGHTLIFE,0.6655,False
대구광역시,수성구,황금동,RESIDENTIAL,0.69755,False
인천광역시,중구,을왕동,TOURIST,0.6587583333333333,False
울산광역시,남구,신정동,OFFICE,0.65408,False
서울특별시,동대문구,제기동,OFFICE,0.6252,False
경상북도,경주시,사정동,TOURIST,0.6624217391304348,False
서울특별시,마포구,신수동,RESIDENTIAL,0.641,False
서울특별시,영등포구,신길동,RESIDENTIAL,0.6822333333333334,False
광주광역시,동구,장동,TOURIST,0.620676923076923,False
서울특별시,중구,태평로2가,NIGHTLIFE,0.6285866666666667,False
경기도,시흥시,은행동,RESIDENTIAL,0.7149,False
부산광역시,동래구,안락동,RESIDENTIAL,0.66745,False
서울특별시,중구,충무로3가,NIGHTLIFE,0.6285866666666667,False
경기도,수원시 장안구,정자동,RESIDENTIAL,0.6817333333333333,False
광주광역시,남구,봉선동,RESIDENTIAL,0.65395,False
대구광역시,달서구,월성동,RESIDENTIAL,0.739,False
경기도,성남시 분당구,운중동,OFFICE,0.6531,False
대구광역시,중구,동문동,RESIDENTIAL,0.6376916666666667,False
경기도,용인시 수지구,죽전동,RESIDENTIAL,0.7078000000000001,False
서울특별시,강서구,방화동,OFFICE,0.6577333333333333,False
인천광역시,연수구,연수동,OFFICE,0.6342666666666666,False
강원특별자치도,춘천시,퇴계동,CAMPUS,0.6918,False
세종특별자치시,,나성동,RESIDENTIAL,0.6562708333333334,False
서울특별시,용산구,동자동,OFFICE,0.62136875,False
제주특별자치도,제주시,한경면,TOURIST,0.8156,False
부산광역시,연제구,거제동,RESIDENTIAL,0.674025,False
제주특별자치도,제주시,아라일동,TOURIST,0.6590692307692307,False
경기도,부천시 원미구,상동,OFFICE,0.70445,False
경기도,고양시 덕양구,동산동,RESIDENTIAL,0.6780571428571429,False
서울특별시,동작구,흑석동,CAMPUS,0.5267,True
서울특별시,종로구,누하동,TOURIST,0.6479647058823529,False
충청북도,청주시 서원구,산남동,CAMPUS,0.5911,True
서울특별시,광진구,능동,NIGHTLIFE,0.6008,False
서울특별시,종로구,종로5가,NIGHTLIFE,0.67195,False
경상남도,김해시,장유동,RESIDENTIAL,0.6664666666666667,False
경기도,화성시,봉담읍,GENERAL,0.3399,False
서울특별시,금천구,시흥동,RESIDENTIAL,0.5789799999999999,False
경기도,안양시 동안구,평촌동,RESIDENTIAL,0.7302,False
대구광역시,북구,동천동,OFFICE,0.6445,False
서울특별시,종로구,명륜2가,TOURIST,0.6479647058823529,False
대구광역시,달서구,상인동,RESIDENTIAL,0.6957666666666666,False
경기도,용인시 수지구,동천동,OFFICE,0.7673,False
경기도,용인시 기흥구,중동,RESIDENTIAL,0.5946933333333333,False
강원특별자치도,원주시,반곡동,RESIDENTIAL,0.633348,False
서울특별시,송파구,오금동,RESIDENTIAL,0.6938,False
강원특별자치도,원주시,단계동,NIGHTLIFE,0.6719,False
서울특별시,중구,을지로6가,NIGHTLIFE,0.6743,False
서울특별시,중구,서소문동,NIGHTLIFE,0.6285866666666667,False
경기도,김포시,풍무동,RESIDENTIAL,0.6604,False
서울특별시,은평구,대조동,NIGHTLIFE,0.6282,False
서울특별시,중구,필동2가,TOURIST,0.6764,False
울산광역시,동구,일산동,OFFICE,0.6258,False
충청북도,청주시 흥덕구,가경동,CAMPUS,0.6808,False
광주광역시,서구,쌍촌동,RESIDENTIAL,0.6426000000000001,False
충청남도,아산시,탕정면,RESIDENTIAL,0.6381,False
경기도,김포시,고촌읍,OFFICE,0.6474,False
서울특별시,성북구,성북동,CAMPUS,0.6155,False
서울특별시,종로구,내수동,TOURIST,0.6479647058823529,False
경기도,수원시 권선구,권선동,OFFICE,0.7235,False
경기도,고양시 일산동구,풍동,OFFICE,0.6957083333333333,False
인천광역시,남동구,만수동,RESIDENTIAL,0.6730666666666667,False
경상북도,영덕군,강구면,TOURIST,0.758,False
경기도,수원시 영통구,신동,RESIDENTIAL,0.6819916666666667,False
서울특별시,동대문구,이문동,CAMPUS,0.57865,False
서울특별시,종로구,통의동,TOURIST,0.6479647058823529,False
대전광역시,서구,관저동,RESIDENTIAL,0.6497999999999999,False
서울특별시,영등포구,양평동4가,OFFICE,0.6396,False
인천광역시,서구,당하동,RESIDENTIAL,0.6708,False
서울특별시,노원구,중계동,RESIDENTIAL,0.6855,False
서울특별시,영등포구,당산동6가,OFFICE,0.70035,False
서울특별시,성동구,도선동,RESIDENTIAL,0.6122705882352941,False
경기도,파주시,동패동,OFFICE,0.6352,False
부산광역시,중구,부평동2가,TOURIST,0.7045,False
경상북도,포항시 북구,두호동,OFFICE,0.6311,False
인천광역시,부평구,삼산동,RESIDENTIAL,0.7238500000000001,False
서울특별시,종로구,필운동,TOURIST,0.6479647058823529,False
경기도,광명시,철산동,RESIDENTIAL,0.705425,False
서울특별시,종로구,세종로,TOURIST,0.6479647058823529,False
경기도,가평군,설악면,OFFICE,0.6119,False
서울특별시,중구,충무로2가,NIGHTLIFE,0.6285866666666667,False
대구광역시,중구,동인동4가,NIGHTLIFE,0.6296,False
경상남도,창원시 성산구,용호동,RESIDENTIAL,0.625825,False
경기도,포천시,소흘읍,OFFICE,0.6966,False
충청북도,청주시 흥덕구,봉명동,CAMPUS,0.6033,False
전라남도,여수시,학동,TOURIST,0.6336481481481481,False
서울특별시,종로구,안국동,TOURIST,0.6479647058823529,False
서울특별시,중구,명동1가,TOURIST,0.6624,False
경기도,수원시 영통구,망포동,RESIDENTIAL,0.7703,False
서울특별시,동작구,신대방동,NIGHTLIFE,0.6417999999999999,False
서울특별시,중구,중림동,OFFICE,0.6127,False
전라남도,여수시,웅천동,TOURIST,0.6336481481481481,False
서울특별시,강동구,고덕동,RESIDENTIAL,0.73865,False
충청북도,청주시 흥덕구,오송읍,CAMPUS,0.6884,False
부산광역시,해운대구,재송동,OFFICE,0.6515500000000001,False
경기도,용인시 수지구,성복동,RESIDENTIAL,0.7685,False
서울특별시,강동구,명일동,RESIDENTIAL,0.7537,False
대구광역시,달서구,감삼동,RESIDENTIAL,0.663,False
경기도,남양주시,진접읍,OFFICE,0.6815,False
경기도,의왕시,학의동,RESIDENTIAL,0.5898,False
경상남도,거제시,고현동,OFFICE,0.7304,False
충청북도,청주시 상당구,북문로2가,RESIDENTIAL,0.5930692307692308,False
서울특별시,성북구,안암동5가,OFFICE,0.6357,False
인천광역시,부평구,갈산동,OFFICE,0.69235,False
대구광역시,중구,봉산동,RESIDENTIAL,0.6376916666666667,False
제주특별자치도,서귀포시,중문동,TOURIST,0.7249,False
전라남도,목포시,상동,CAMPUS,0.6304,False
강원특별자치도,속초시,교동,TOURIST,0.6785,False
경기도,화성시,산척동,RESIDENTIAL,0.6154137931034483,False
서울특별시,서대문구,남가좌동,CAMPUS,0.5991,False
서울특별시,동대문구,용두동,CAMPUS,0.5475,True
서울특별시,중구,회현동1가,TOURIST,0.6598,False
강원특별자치도,속초시,조양동,TOURIST,0.6927,False
서울특별시,서대문구,홍제동,RESIDENTIAL,0.6263333333333333,False
광주광역시,북구,용봉동,CAMPUS,0.5859,True
경기도,고양시 일산동구,식사동,RESIDENTIAL,0.6556,False
서울특별시,종로구,종로1가,NIGHTLIFE,0.67195,False
전라남도,나주시,빛가람동,TOURIST,0.633,False
대구광역시,수성구,상동,GENERAL,0.3968,False
서울특별시,종로구,내자동,TOURIST,0.6479647058823529,False
서울특별시,종로구,삼청동,TOURIST,0.7143,False
경기도,광명시,하안동,RESIDENTIAL,0.7088,False
서울특별시,중구,남창동,NIGHTLIFE,0.6285866666666667,False
경기도,용인시 수지구,고기동,RESIDENTIAL,0.7381909090909091,False
부산광역시,부산진구,양정동,OFFICE,0.61545,False
충청남도,천안시 서북구,성정동,NIGHTLIFE,0.6516,False
부산광역시,금정구,구서동,CAMPUS,0.6612,False
강원특별자치도,속초시,대포동,TOURIST,0.7223,False
충청북도,충주시,연수동,OFFICE,0.7281,False
경상남도,진주시,가좌동,GENERAL,0.5770700000000001,False
경기도,화성시,남양읍,OFFICE,0.6638,False
전라남도,순천시,조례동,TOURIST,0.589225,False
경기도,성남시 분당구,금곡동,OFFICE,0.7522,False
세종특별자치시,,어진동,RESIDENTIAL,0.6562708333333334,False
경기도,하남시,덕풍동,RESIDENTIAL,0.7212,False
경상남도,김해시,삼계동,OFFICE,0.6030842105263158,False
서울특별시,종로구,부암동,PREMIUM,0.5506,False
서울특별시,도봉구,쌍문동,RESIDENTIAL,0.59685,False
